t (s)	q (C)
1.990000E-18	6.743596E-22
2.000000E-18	6.734539E-22
2.010000E-18	6.725540E-22
2.020000E-18	6.716598E-22
2.030000E-18	6.707714E-22
2.040000E-18	6.698888E-22
2.050000E-18	6.690120E-22
2.060000E-18	6.681410E-22
2.070000E-18	6.672759E-22
2.080000E-18	6.664166E-22
2.090000E-18	6.655631E-22
2.100000E-18	6.647154E-22
2.110000E-18	6.638736E-22
2.120000E-18	6.630376E-22
2.130000E-18	6.622074E-22
2.140000E-18	6.613830E-22
2.150000E-18	6.605645E-22
2.160000E-18	6.597518E-22
2.170000E-18	6.589449E-22
2.180000E-18	6.581438E-22
2.190000E-18	6.573484E-22
2.200000E-18	6.565589E-22
2.210000E-18	6.557751E-22
2.220000E-18	6.549970E-22
2.230000E-18	6.542247E-22
2.240000E-18	6.534582E-22
2.250000E-18	6.526973E-22
2.260000E-18	6.519421E-22
2.270000E-18	6.511926E-22
2.280000E-18	6.504488E-22
2.290000E-18	6.497106E-22
2.300000E-18	6.489780E-22
2.310000E-18	6.482511E-22
2.320000E-18	6.475297E-22
2.330000E-18	6.468139E-22
2.340000E-18	6.461036E-22
2.350000E-18	6.453988E-22
2.360000E-18	6.446995E-22
2.370000E-18	6.440058E-22
2.380000E-18	6.433174E-22
2.390000E-18	6.426345E-22
2.400000E-18	6.419570E-22
2.410000E-18	6.412848E-22
2.420000E-18	6.406180E-22
2.430000E-18	6.399566E-22
2.440000E-18	6.393004E-22
2.450000E-18	6.386495E-22
2.460000E-18	6.380039E-22
2.470000E-18	6.373635E-22
2.480000E-18	6.367282E-22
2.490000E-18	6.360982E-22
2.500000E-18	6.354733E-22
2.510000E-18	6.348534E-22
2.520000E-18	6.342387E-22
2.530000E-18	6.336290E-22
2.540000E-18	6.330244E-22
2.550000E-18	6.324247E-22
2.560000E-18	6.318301E-22
2.570000E-18	6.312403E-22
2.580000E-18	6.306555E-22
2.590000E-18	6.300755E-22
2.600000E-18	6.295004E-22
2.610000E-18	6.289301E-22
2.620000E-18	6.283646E-22
2.630000E-18	6.278039E-22
2.640000E-18	6.272479E-22
2.650000E-18	6.266966E-22
2.660000E-18	6.261500E-22
2.670000E-18	6.256080E-22
2.680000E-18	6.250707E-22
2.690000E-18	6.245379E-22
2.700000E-18	6.240097E-22
2.710000E-18	6.234860E-22
2.720000E-18	6.229667E-22
2.730000E-18	6.224520E-22
2.740000E-18	6.219417E-22
2.750000E-18	6.214358E-22
2.760000E-18	6.209342E-22
2.770000E-18	6.204370E-22
2.780000E-18	6.199441E-22
2.790000E-18	6.194555E-22
2.800000E-18	6.189712E-22
2.810000E-18	6.184911E-22
2.820000E-18	6.180151E-22
2.830000E-18	6.175434E-22
2.840000E-18	6.170757E-22
2.850000E-18	6.166122E-22
2.860000E-18	6.161527E-22
2.870000E-18	6.156973E-22
2.880000E-18	6.152459E-22
2.890000E-18	6.147985E-22
2.900000E-18	6.143551E-22
2.910000E-18	6.139155E-22
2.920000E-18	6.134799E-22
2.930000E-18	6.130481E-22
2.940000E-18	6.126202E-22
2.950000E-18	6.121961E-22
2.960000E-18	6.117758E-22
2.970000E-18	6.113592E-22
2.980000E-18	6.109464E-22
2.990000E-18	6.105373E-22
3.000000E-18	6.101318E-22
3.010000E-18	6.097300E-22
3.020000E-18	6.093318E-22
3.030000E-18	6.089372E-22
3.040000E-18	6.085461E-22
3.050000E-18	6.081586E-22
3.060000E-18	6.077745E-22
3.070000E-18	6.073940E-22
3.080000E-18	6.070169E-22
3.090000E-18	6.066432E-22
3.100000E-18	6.062730E-22
3.110000E-18	6.059060E-22
3.120000E-18	6.055425E-22
3.130000E-18	6.051822E-22
3.140000E-18	6.048253E-22
3.150000E-18	6.044716E-22
3.160000E-18	6.041211E-22
3.170000E-18	6.037739E-22
3.180000E-18	6.034298E-22
3.190000E-18	6.030889E-22
3.200000E-18	6.027512E-22
3.210000E-18	6.024165E-22
3.220000E-18	6.020850E-22
3.230000E-18	6.017565E-22
3.240000E-18	6.014310E-22
3.250000E-18	6.011085E-22
3.260000E-18	6.007891E-22
3.270000E-18	6.004726E-22
3.280000E-18	6.001590E-22
3.290000E-18	5.998484E-22
3.300000E-18	5.995406E-22
3.310000E-18	5.992357E-22
3.320000E-18	5.989336E-22
3.330000E-18	5.986344E-22
3.340000E-18	5.983380E-22
3.350000E-18	5.980443E-22
3.360000E-18	5.977534E-22
3.370000E-18	5.974652E-22
3.380000E-18	5.971797E-22
3.390000E-18	5.968969E-22
3.400000E-18	5.966168E-22
3.410000E-18	5.963393E-22
3.420000E-18	5.960644E-22
3.430000E-18	5.957921E-22
3.440000E-18	5.955224E-22
3.450000E-18	5.952552E-22
3.460000E-18	5.949905E-22
3.470000E-18	5.947284E-22
3.480000E-18	5.944688E-22
3.490000E-18	5.942116E-22
3.500000E-18	5.939568E-22
3.510000E-18	5.937045E-22
3.520000E-18	5.934546E-22
3.530000E-18	5.932071E-22
3.540000E-18	5.929619E-22
3.550000E-18	5.927191E-22
3.560000E-18	5.924786E-22
3.570000E-18	5.922404E-22
3.580000E-18	5.920045E-22
3.590000E-18	5.917708E-22
3.600000E-18	5.915394E-22
3.610000E-18	5.913102E-22
3.620000E-18	5.910833E-22
3.630000E-18	5.908585E-22
3.640000E-18	5.906359E-22
3.650000E-18	5.904154E-22
3.660000E-18	5.901970E-22
3.670000E-18	5.899808E-22
3.680000E-18	5.897667E-22
3.690000E-18	5.895546E-22
3.700000E-18	5.893446E-22
3.710000E-18	5.891367E-22
3.720000E-18	5.889308E-22
3.730000E-18	5.887268E-22
3.740000E-18	5.885249E-22
3.750000E-18	5.883249E-22
3.760000E-18	5.881269E-22
3.770000E-18	5.879309E-22
3.780000E-18	5.877367E-22
3.790000E-18	5.875445E-22
3.800000E-18	5.873541E-22
3.810000E-18	5.871656E-22
3.820000E-18	5.869790E-22
