t (s)	q (C)
1.4099999999999989e-18	7.33144349454e-22
1.4199999999999988e-18	7.32032426718e-22
1.4299999999999987e-18	7.30918277683e-22
1.4399999999999987e-18	7.29802252467e-22
1.4499999999999986e-18	7.28684688956e-22
1.4599999999999986e-18	7.27565913165e-22
1.4699999999999985e-18	7.26446239593e-22
1.4799999999999985e-18	7.2532597157e-22
1.4899999999999984e-18	7.24205401588e-22
1.4999999999999984e-18	7.23084811626e-22
1.5099999999999983e-18	7.21964473469e-22
1.5199999999999983e-18	7.20844649011e-22
1.5299999999999982e-18	7.19725590553e-22
1.5399999999999982e-18	7.18607541091e-22
1.5499999999999981e-18	7.17490734598e-22
1.559999999999998e-18	7.16375396297e-22
1.569999999999998e-18	7.15261742921e-22
1.579999999999998e-18	7.14149982976e-22
1.5899999999999979e-18	7.13040316984e-22
1.5999999999999978e-18	7.1193293773e-22
1.6099999999999978e-18	7.10828030495e-22
1.6199999999999977e-18	7.09725773286e-22
1.6299999999999977e-18	7.08626337052e-22
1.6399999999999976e-18	7.07529885909e-22
1.6499999999999976e-18	7.06436577339e-22
1.6599999999999975e-18	7.05346562399e-22
1.6699999999999975e-18	7.04259985918e-22
1.6799999999999974e-18	7.03176986685e-22
1.6899999999999974e-18	7.02097697637e-22
1.6999999999999973e-18	7.01022246039e-22
1.7099999999999973e-18	6.99950753661e-22
1.7199999999999972e-18	6.98883336943e-22
1.7299999999999972e-18	6.97820107167e-22
1.7399999999999973e-18	6.96761170611e-22
1.7499999999999972e-18	6.95706628709e-22
1.759999999999997e-18	6.94656578201e-22
1.769999999999997e-18	6.93611111278e-22
1.779999999999997e-18	6.92570315727e-22
1.789999999999997e-18	6.91534275069e-22
1.799999999999997e-18	6.90503068691e-22
1.809999999999997e-18	6.8947677198e-22
1.819999999999997e-18	6.88455456445e-22
1.829999999999997e-18	6.87439189844e-22
1.8399999999999968e-18	6.86428036303e-22
1.8499999999999967e-18	6.85422056431e-22
1.8599999999999967e-18	6.84421307429e-22
1.8699999999999966e-18	6.83425843205e-22
1.8799999999999965e-18	6.82435714479e-22
1.8899999999999965e-18	6.81450968881e-22
1.8999999999999964e-18	6.80471651057e-22
1.9099999999999964e-18	6.79497802762e-22
1.9199999999999963e-18	6.78529462956e-22
1.9299999999999963e-18	6.77566667895e-22
1.9399999999999962e-18	6.76609451218e-22
1.949999999999996e-18	6.75657844037e-22
1.959999999999996e-18	6.74711875018e-22
1.969999999999996e-18	6.7377157046e-22
1.979999999999996e-18	6.72836954379e-22
1.989999999999996e-18	6.71908048581e-22
1.999999999999996e-18	6.70984872735e-22
2.009999999999996e-18	6.70067444449e-22
2.0199999999999958e-18	6.69155779336e-22
2.0299999999999957e-18	6.68249891086e-22
2.0399999999999957e-18	6.67349791526e-22
2.0499999999999956e-18	6.66455490691e-22
2.0599999999999956e-18	6.65566996878e-22
2.0699999999999955e-18	6.64684316713e-22
2.0799999999999955e-18	6.63807455208e-22
2.0899999999999954e-18	6.62936415814e-22
2.0999999999999954e-18	6.62071200479e-22
2.1099999999999953e-18	6.61211809702e-22
2.1199999999999953e-18	6.60358242582e-22
2.1299999999999952e-18	6.5951049687e-22
2.139999999999995e-18	6.58668569019e-22
2.149999999999995e-18	6.57832454227e-22
2.159999999999995e-18	6.5700214649e-22
2.169999999999995e-18	6.56177638637e-22
2.179999999999995e-18	6.55358922382e-22
2.189999999999995e-18	6.5454598836e-22
2.199999999999995e-18	6.53738826171e-22
2.2099999999999948e-18	6.52937424419e-22
2.2199999999999947e-18	6.52141770747e-22
2.2299999999999947e-18	6.51351851878e-22
2.2399999999999946e-18	6.5056765365e-22
2.2499999999999946e-18	6.49789161049e-22
2.2599999999999945e-18	6.49016358244e-22
2.2699999999999945e-18	6.48249228621e-22
2.2799999999999944e-18	6.47487754814e-22
2.2899999999999944e-18	6.46731918733e-22
2.2999999999999943e-18	6.459817016e-22
2.3099999999999943e-18	6.45237083972e-22
2.3199999999999942e-18	6.44498045771e-22
2.329999999999994e-18	6.43764566314e-22
2.339999999999994e-18	6.43036624336e-22
2.349999999999994e-18	6.42314198016e-22
2.359999999999994e-18	6.41597265004e-22
2.369999999999994e-18	6.40885802443e-22
2.379999999999994e-18	6.40179786991e-22
